,int.rate,log.annual.inc,dtai,fico,days.with.cr.line,inq.last.6mths,delinq.2yrs,default
2141,0.1284,11.12726298,18.09,727,3870.041667,1,0,0
8719,0.1197,11.60827201,11.62,677,4290.0,4,0,0
5437,0.1461,10.91508846,19.03,692,4720.958333,1,0,0
3505,0.1284,11.28978191,17.16,702,5490.0,2,0,0
5494,0.1357,11.00209984,18.58,697,2524.958333,0,0,0
5199,0.0859,11.26446411,24.12,742,8639.958333,0,0,0
931,0.1039,10.49127422,9.57,697,2430.0,0,0,0
784,0.1166,11.69524702,18.23,697,4950.0,2,0,0
3817,0.0932,11.00209984,16.92,727,2069.958333,1,0,0
3935,0.1348,10.46310334,22.25,687,3955.041667,0,0,0
4872,0.1114,11.85153827,17.3,717,5220.0,2,0,0
1723,0.1158,11.77528973,19.37,757,8670.0,0,0,0
791,0.1039,10.71441777,14.64,712,4439.958333,3,0,0
1443,0.0907,11.03495418,4.32,782,5369.958333,1,0,0
8682,0.1222,10.645424900000002,9.71,682,3599.958333,5,0,0
1026,0.1134,10.9040459,15.09,682,2940.0,3,0,0
4055,0.1284,10.77895629,22.45,687,8219.958333,0,0,0
5239,0.16699999999999998,11.74403719,17.14,682,8369.958333,1,0,0
4758,0.1392,11.03488966,14.05,677,3479.958333,1,0,0
4501,0.1253,11.61964306,11.36,717,7350.0,0,0,0
9448,0.16699999999999998,10.49127422,2.67,692,5490.0,8,0,0
2835,0.1221,10.78931908,16.7,712,2430.0,2,0,0
4837,0.1218,11.60823564,8.23,722,5429.958333,1,0,0
9408,0.1531,10.59663473,21.99,662,5191.041667,4,0,0
3704,0.1189,11.39639165,12.09,727,4829.958333,1,0,0
7947,0.1407,10.23995979,21.26,642,2339.0,2,0,0
413,0.1393,11.184421400000002,22.57,662,2940.0,2,0,0
2705,0.1505,10.75798798,20.19,752,4621.0,2,0,0
8929,0.1284,11.54248427,2.9,722,2250.0,5,0,0
203,0.0775,10.77895629,13.53,787,10260.04167,3,0,0
2147,0.0963,10.04324949,2.14,727,5340.041667,1,0,0
7986,0.1438,10.89673933,4.33,642,4529.041667,4,0,1
4633,0.1357,11.22524339,2.85,692,4770.0,3,0,0
9063,0.2011,10.96819829,11.01,677,1559.958333,8,0,0
6251,0.1357,11.49276357,0.18,712,5970.041667,1,0,0
2681,0.1316,10.91508846,12.09,702,2219.958333,2,0,0
1862,0.1221,11.19766662,14.97,732,6360.041667,2,0,0
8811,0.1475,10.57131693,5.23,652,1800.0,0,4,0
945,0.1071,11.08980542,13.08,702,4379.958333,2,0,0
5865,0.1148,10.30895266,16.4,782,5910.041667,0,0,0
3455,0.1322,10.30895266,5.2,682,1684.9583329999998,0,0,0
7664,0.1062,11.98042596,15.2,762,5820.0,2,0,0
1425,0.1209,11.44571672,12.92,687,2190.0,0,0,0
3691,0.08,11.44678566,13.27,752,2250.0,0,0,0
3733,0.1442,11.00209984,20.0,697,4380.0,2,0,0
3603,0.0932,10.81977828,11.71,782,4800.0,0,0,0
8311,0.1292,11.34568955,27.45,737,5609.041667,1,0,0
3208,0.1158,11.00209984,15.72,732,1680.0,1,0,0
7508,0.1311,9.862665558,2.63,692,1590.041667,1,0,0
8136,0.1046,11.33857208,16.67,722,4458.0,4,0,0
6938,0.1218,10.89673933,4.78,712,3480.041667,0,0,0
5304,0.0774,9.903487553,3.42,807,4979.958333,0,0,0
7658,0.1273,10.20507253,17.8,692,1830.0,0,0,0
6870,0.1357,11.00209984,15.06,677,3750.041667,2,1,0
8455,0.1197,10.59663473,3.39,677,630.0,2,0,0
1830,0.1189,10.59663473,11.46,717,7347.0,0,0,0
7515,0.0751,10.30895266,5.4,752,2610.0,0,0,0
9193,0.1726,10.30895266,8.96,717,1979.9583329999998,10,0,0
5575,0.1531,10.448714599999999,20.35,667,1860.0,3,0,0
1190,0.1001,11.00209984,11.22,707,6630.0,0,0,0
503,0.1355,10.2797298,15.82,667,3539.041667,1,0,1
839,0.1134,10.71441777,8.75,682,2490.0,1,1,1
260,0.0743,10.62861778,2.32,772,2610.041667,0,0,0
3231,0.1284,10.54534144,18.66,697,4921.958333,1,0,0
4093,0.1322,10.49127422,9.37,692,2769.958333,1,2,0
4775,0.1148,10.49127422,2.9,727,1800.0,1,0,0
6710,0.16699999999999998,11.03488966,23.86,677,4590.041667,3,0,0
5493,0.0774,14.12446477,0.62,782,4709.958333,2,0,0
7858,0.0933,11.05089001,0.82,717,346.0,2,0,0
4103,0.0932,10.66895539,16.02,752,3779.958333,3,0,0
3069,0.0932,10.37361617,2.92,732,6126.0,1,0,0
4544,0.07400000000000001,10.30895266,0.0,772,5729.958333,0,0,0
7758,0.0964,11.51292546,10.0,707,6360.041667,6,0,0
3280,0.1316,10.50506754,22.32,702,4859.958333,1,0,0
7128,0.0714,11.49272276,8.33,752,7350.0,0,0,0
3781,0.0932,12.2010601,8.36,802,11685.0,0,0,0
7537,0.1348,11.91839057,12.49,737,6570.0,0,0,0
3452,0.1189,10.96812932,24.39,692,5279.958333,2,0,0
8291,0.1734,11.24255927,12.74,652,6583.0,0,0,0
174,0.0712,11.44035477,0.0,812,8250.0,0,0,0
6908,0.1253,11.04132055,4.02,677,2130.0,2,0,0
4345,0.1704,10.59663473,6.9,702,4320.0,1,1,1
814,0.1197,10.77895629,20.68,692,9330.0,0,0,0
73,0.1501,12.26904744,6.45,677,6240.0,0,0,1
8630,0.1418,10.71441777,6.69,652,4260.0,1,0,1
4724,0.1253,11.40235138,20.2,697,9240.0,2,0,0
9028,0.1347,10.14643373,24.24,692,2249.958333,4,0,0
3038,0.08,10.59663473,10.26,747,7560.0,3,0,0
6438,0.1253,11.19821472,2.91,692,2670.041667,1,2,0
1048,0.1261,10.45679779,17.8,672,5612.958333,0,1,0
4131,0.1183,10.29214554,21.4,697,4110.0,0,0,0
6547,0.0859,10.59663473,9.33,797,6030.041667,1,0,0
5723,0.1183,10.46310334,13.92,712,1770.0,0,0,0
1568,0.102,9.546812609,0.86,757,1772.0,1,0,0
747,0.1039,10.87804719,13.09,702,4441.0,1,0,0
5093,0.1982,10.85892207,5.53,692,1482.041667,1,0,0
1834,0.1221,11.22524339,15.02,722,5400.0,2,0,0
7074,0.0676,10.28192399,2.38,752,5610.041667,2,0,0
2629,0.1284,11.53272809,12.46,722,3329.958333,2,0,0
1624,0.1209,11.12726298,4.29,697,1710.0,1,0,0
733,0.1008,10.57131693,5.17,707,2190.0,1,0,0
4308,0.16,11.112447900000001,14.61,677,4919.958333,1,0,0
5388,0.1218,11.22524339,12.22,712,2849.958333,1,0,0
2676,0.1568,11.6351431,13.12,757,7560.0,0,0,0
882,0.1103,10.81977828,0.6,682,1303.0,2,1,0
7278,0.157,11.79244935,14.21,692,3330.0,0,0,0
2041,0.08,10.62132735,10.74,752,4800.0,1,0,0
5989,0.1459,11.72803684,15.36,672,7610.0,0,2,0
2377,0.08,11.13470581,8.22,752,8580.041667,0,0,0
4565,0.1148,10.59663473,14.55,732,1289.958333,0,0,0
5941,0.1426,11.08214255,11.13,672,3360.041667,1,0,0
999,0.1134,11.48246626,17.15,687,5189.958333,1,0,0
2345,0.1347,10.37361617,22.08,697,5220.0,0,0,0
855,0.0832,11.10465643,0.0,767,4740.0,1,0,0
8143,0.1046,10.43998092,10.04,682,720.0,0,0,0
3601,0.1253,10.47728798,10.41,687,2639.958333,0,0,0
3734,0.08,10.59653473,14.58,767,5309.958333,0,0,0
5946,0.1496,11.46813728,16.49,692,5910.041667,1,0,0
5902,0.1635,11.08214255,11.41,672,2970.041667,0,0,0
6073,0.1496,11.26446411,2.64,667,3660.0,0,0,0
2800,0.1632,11.48246626,20.89,667,5669.958333,0,0,0
4721,0.1287,11.58058411,18.09,687,5160.0,0,0,0
3383,0.1095,10.4341158,9.0,772,5969.958333,0,0,0
1083,0.1039,10.30895266,10.24,702,10319.95833,1,1,0
3024,0.1253,10.87804719,14.08,707,3809.958333,3,0,0
2006,0.0932,10.81985828,5.28,732,3810.041667,1,0,0
7990,0.1059,10.49127422,0.33,712,300.0,0,0,1
8573,0.1355,10.57131693,6.77,657,725.0,0,0,0
1928,0.08,10.81977828,19.06,732,4773.0,0,0,0
255,0.0996,10.89857098,3.77,722,6149.0,0,0,0
58,0.1249,11.22524339,15.0,682,4479.0,3,0,0
9323,0.16,11.26070062,22.9,672,3810.0,5,0,0
4747,0.1357,11.62625415,15.01,702,4170.0,1,0,0
2131,0.1347,11.31447453,15.2,682,5334.041667,0,1,0
5738,0.0894,10.81977828,6.0,752,2760.041667,0,0,0
2696,0.1821,11.22524339,13.92,662,4889.958333,2,0,0
2656,0.1316,11.22524339,18.69,702,3150.0,2,0,0
8695,0.1355,10.9331784,8.98,652,3630.0,2,0,0
1236,0.138,12.20607265,3.07,662,8370.0,0,2,0
5822,0.1426,11.66134547,15.74,677,4410.041667,2,0,0
2222,0.1189,10.59663473,19.54,722,8190.041667,0,0,0
7772,0.1249,10.37349118,5.21,652,2429.958333,2,4,0
4405,0.0894,10.89673933,9.38,742,7529.958333,1,0,0
679,0.16399999999999998,11.91839057,24.03,672,4290.041667,1,0,1
3139,0.08,11.68687877,15.76,767,11099.95833,3,0,0
9220,0.1253,11.39751461,18.36,727,12599.95833,4,0,0
621,0.1166,10.30895266,8.56,682,1200.0,3,0,0
2002,0.1189,11.15619338,18.28,717,6960.0,1,1,0
3341,0.1284,11.25208005,8.57,692,2790.0,2,0,0
4455,0.0894,10.83486392,21.49,737,2910.0,1,0,0
3573,0.0932,11.73606902,3.35,752,7650.0,0,0,0
366,0.092,12.01370075,0.33,732,3600.0,0,0,0
1131,0.1103,10.412591699999998,8.4,687,3359.958333,0,0,0
52,0.1059,10.77895629,4.05,762,2729.958333,0,0,0
786,0.0976,10.08580911,17.0,732,3779.958333,0,0,0
4319,0.1183,11.35040654,24.27,737,5610.0,3,0,1
7605,0.1311,10.16585182,14.4,747,4320.041667,1,0,0
7575,0.157,10.30895266,9.0,672,1411.041667,1,0,0
8603,0.1482,11.15625052,12.65,642,7890.0,1,0,0
5875,0.1253,10.69194491,21.63,717,3690.041667,0,0,0
8073,0.1375,11.33857208,19.1,662,6660.041667,3,0,0
8973,0.1442,10.645424900000002,19.29,692,1500.0,4,0,0
9162,0.1537,11.57119437,5.48,692,3192.0,4,0,0
1739,0.1347,11.69524702,24.5,712,6420.041667,0,0,0
5280,0.1496,10.91508846,0.0,677,7080.0,0,0,0
736,0.1355,10.91508846,14.99,667,4499.0,2,0,0
4,0.1426,11.29973224,14.97,667,4066.0,0,1,0
6146,0.1253,11.33857208,13.63,732,6275.041667,3,0,0
7286,0.0788,10.59663473,14.79,762,2611.0,0,0,0
7693,0.1322,10.49127422,19.53,692,1530.041667,0,0,1
9194,0.1632,11.09741002,8.87,667,2910.0,4,0,0
9128,0.1537,9.61580548,1.28,672,1110.0,5,0,0
7619,0.1062,11.22524339,14.32,707,5910.0,1,0,0
2304,0.1442,10.47925786,24.63,677,5880.0,2,0,0
5226,0.0859,10.37349118,14.74,732,3390.0,2,1,0
8448,0.1166,10.39513036,20.33,687,2370.0,6,0,0
8324,0.1418,11.37939407,1.49,652,3779.041667,12,0,0
2208,0.1379,10.79957558,2.45,672,1860.0,0,0,0
4832,0.1114,11.251560699999999,5.84,757,13379.95833,0,0,0
6696,0.1183,11.12726298,16.94,717,2130.0,3,0,0
6296,0.0859,10.1266311,5.33,792,7830.041667,3,0,0
2743,0.0963,11.69524702,2.5,802,12330.0,1,0,0
9241,0.1565,10.59653473,12.33,667,3270.0,4,0,1
9137,0.1284,10.30895266,12.8,717,1200.958333,5,0,0
5588,0.1496,10.29688008,20.69,662,4110.0,0,0,0
6903,0.1357,11.46163217,0.44,692,6780.041667,0,0,0
3058,0.1221,10.30895266,0.4,762,1800.0,2,0,0
6421,0.1183,10.20359214,0.67,777,2700.041667,4,0,0
2355,0.1474,11.184421400000002,10.43,687,3180.041667,0,0,0
6424,0.1218,11.60823564,3.64,717,4860.041667,0,2,0
1953,0.1442,11.14186178,14.26,677,4530.041667,1,0,0
1261,0.1128,10.93403511,19.25,707,3539.958333,1,0,0
3418,0.1284,10.83958091,8.85,697,3900.0,0,0,0
4784,0.1218,10.79957558,16.97,722,4200.958333,0,0,0
4204,0.0774,11.06975849,1.27,762,1890.0,0,0,0
2282,0.1442,10.30895266,11.16,672,4170.041667,1,0,0
607,0.1134,10.08580911,9.8,682,3210.041667,2,0,0
2930,0.1316,11.15625052,23.91,692,2130.0,1,0,0
15,0.1103,10.73891524,13.04,702,8159.958333,1,0,0
5413,0.1774,11.07906088,22.81,662,9329.958333,2,1,0
8330,0.1292,11.07013225,12.07,667,3664.0,5,0,0
7539,0.1459,11.79810441,12.48,692,6630.0,3,0,1
3799,0.1221,11.15625052,22.18,712,3990.0,2,0,0
3456,0.1442,12.61153775,1.48,702,5279.958333,2,1,0
6914,0.1645,10.91508846,16.97,682,6330.041667,0,0,1
5193,0.1114,10.81977828,13.51,737,9150.0,1,1,0
5813,0.1114,10.55581274,2.84,712,4200.041667,2,0,0
2957,0.16,11.1123882,16.25,667,4859.958333,2,1,0
7807,0.1691,11.15625052,1.35,637,780.0,1,0,1
7833,0.1059,9.652844327999999,0.0,682,1109.0,6,0,0
3362,0.1284,11.51292546,17.26,687,3243.0,2,0,0
7172,0.0788,11.74403719,5.94,787,5670.041667,0,0,0
7380,0.1348,10.81977828,21.07,697,2130.041667,1,0,1
2551,0.16,11.15625052,8.66,677,3810.0,2,0,0
1051,0.0832,10.57131693,10.83,742,6329.958333,6,0,0
2909,0.0768,10.49957302,0.93,742,1919.9583329999998,0,0,0
1730,0.0932,10.71441777,14.24,737,2282.041667,0,0,0
5109,0.1148,10.59663473,0.0,802,4740.0,1,0,0
2544,0.1379,10.80972795,15.85,682,2520.0,1,0,0
7085,0.0788,11.15625052,23.09,722,8130.041667,1,0,0
4264,0.16,9.998797732,6.71,697,3929.958333,0,0,1
1633,0.1304,11.77528973,11.06,672,8192.041667,3,0,0
3566,0.1505,11.79981723,16.79,682,11190.0,0,0,1
3308,0.1253,11.56171563,13.78,707,4410.0,3,0,0
7170,0.1422,10.71441777,4.51,692,3420.041667,0,0,0
7721,0.1229,10.73639668,3.03,672,983.0,2,0,0
1122,0.0976,11.11988288,13.55,722,6630.0,0,0,0
6672,0.16,10.18746276,12.74,707,1890.0416670000002,1,0,0
5394,0.1635,10.91508846,23.21,677,3660.0,1,0,0
8395,0.1039,11.51292546,2.94,727,3300.0,8,0,1
7499,0.1136,10.69194491,17.13,697,2280.0,1,0,0
2171,0.1442,10.95954023,21.54,682,2280.0,0,0,0
7395,0.1025,11.66134547,18.61,707,6510.041667,0,0,0
7769,0.1312,10.37349118,7.91,652,5609.958333,3,0,0
2805,0.1474,11.22524339,14.96,692,3270.0,2,1,0
9296,0.1461,11.45143297,23.88,672,10950.0,4,0,0
6776,0.1114,10.08580911,12.1,737,2370.041667,1,0,0
1841,0.0932,10.98529272,11.02,757,3510.041667,0,0,0
7543,0.1496,10.68464561,15.27,667,3720.0,0,0,0
3772,0.1758,10.96812932,7.35,697,1679.9583329999998,0,0,0
8885,0.1221,10.23981692,5.53,722,1800.0,5,0,0
1712,0.0932,10.4341158,23.86,742,5010.0,0,1,0
3798,0.0932,11.15310271,4.06,747,2250.0,1,0,0
7322,0.1496,10.62132735,16.42,687,6701.041667,0,1,0
32,0.0743,11.91839057,0.0,777,7128.958333,0,0,0
8244,0.1418,10.25765937,17.47,642,2909.0,2,0,1
8120,0.1078,10.36501788,13.01,702,3629.0,5,0,1
1226,0.1064,11.22693529,14.62,722,4919.958333,0,0,0
4590,0.07400000000000001,11.65268741,6.4,772,4949.958333,0,0,0
6033,0.1531,10.42821608,15.02,667,2370.041667,1,0,0
3244,0.1158,11.03488966,24.62,727,9091.0,0,0,0
87,0.0775,11.03165864,3.46,747,2519.0,0,0,0
2792,0.1189,11.15625052,7.23,722,2249.958333,0,0,0
7691,0.1461,10.30895266,16.2,682,1769.9583329999998,2,0,1
8300,0.1608,10.858999,25.55,677,2430.041667,5,0,1
5736,0.1565,11.30012821,9.47,677,7440.041667,0,0,0
9384,0.1565,10.63585545,9.95,727,3480.041667,9,0,1
7933,0.1028,8.517193191,0.0,682,238.95833330000002,3,0,1
3088,0.1474,12.01370075,20.67,697,6719.958333,0,0,1
5105,0.1183,10.9331784,13.05,727,4619.958333,0,0,0
6077,0.1287,10.645424900000002,8.31,687,3000.041667,1,0,0
796,0.0976,12.07254125,3.17,742,2820.0,0,0,0
5734,0.1357,10.42228135,10.71,677,5190.041667,2,1,0
8565,0.1324,10.51867319,25.07,717,4590.0,0,0,0
1430,0.1083,10.57131693,18.22,717,2519.958333,1,0,0
601,0.0945,11.81303006,11.18,737,3660.0,1,0,0
3106,0.1095,10.40092394,24.88,727,3726.958333,1,0,0
2753,0.1505,12.36563722,15.01,672,7500.0,0,0,0
8662,0.0945,11.69524702,19.46,752,10769.95833,1,0,1
7306,0.1099,10.45791849,20.13,722,2220.0,0,0,0
9109,0.1537,11.23848862,12.77,672,3749.958333,7,0,1
384,0.1078,10.52406404,12.58,702,2130.0,0,0,0
4133,0.1392,11.40978471,10.28,697,5190.0,1,0,0
9528,0.1062,10.62132735,7.02,707,8013.0,4,0,1
7004,0.1148,10.66895539,21.43,712,3664.0,1,0,0
4122,0.1426,11.22524339,18.13,667,1835.0,1,0,0
3663,0.08,11.06657586,0.0,807,3960.0,1,0,0
8787,0.1286,10.20359214,26.62,792,6050.958333,0,0,0
1952,0.1095,11.56171563,8.14,757,6960.0,0,0,0
850,0.1166,11.28978191,17.78,692,1980.0,0,0,1
330,0.0743,11.12714533,9.99,767,8190.041667,1,1,0
2953,0.0932,11.57119437,0.17,767,4409.958333,0,0,0
8315,0.1482,11.15625052,3.82,647,4080.0,0,4,0
5511,0.1392,11.29177992,21.48,677,6630.0,1,0,0
593,0.1134,11.22524339,14.8,712,2970.0,3,0,0
204,0.1186,10.59663473,7.02,667,2789.041667,0,2,1
3468,0.0932,11.54248427,6.56,737,8159.958333,0,0,0
3252,0.1158,10.89673933,3.44,707,3540.0,1,0,0
7727,0.0807,11.69524702,4.0,742,4080.0,6,0,0
8144,0.1078,11.36210258,0.75,717,3181.041667,8,1,0
6979,0.1218,11.15625052,2.18,737,5101.0,0,0,1
423,0.1172,11.09741002,2.42,682,6329.041667,1,0,0
8779,0.1854,10.69194491,26.68,647,9840.0,2,0,0
3063,0.1126,11.42954386,9.57,732,6090.0,0,0,0
8898,0.1347,9.392661928999999,9.9,697,1110.0,4,0,1
640,0.1008,11.12431747,11.01,732,3389.0,0,0,0
6608,0.1183,11.184421400000002,11.12,727,8220.041667,0,0,0
9183,0.1442,9.392661928999999,4.7,702,2069.958333,8,0,0
7955,0.0933,11.251560699999999,16.29,717,3480.0,16,0,0
380,0.1299,10.86856845,17.94,667,3269.0,2,0,1
5741,0.1739,11.38509209,23.81,662,4800.041667,0,0,0
9391,0.1843,11.05089001,15.58,717,5348.041667,10,0,0
8174,0.152,10.77895629,26.08,687,5339.041667,1,0,0
1635,0.0938,11.51292546,10.6,752,6964.041667,0,0,0
4100,0.1568,11.58988651,15.73,682,3570.0,1,0,1
5130,0.1218,9.903687533,7.32,692,8850.0,0,1,0
6284,0.1913,11.65268741,11.79,667,4410.0,3,0,0
7909,0.1217,10.30895266,2.2,662,658.9583332999999,1,0,0
6130,0.1357,11.87756858,13.95,707,6270.041667,0,0,0
388,0.133,10.71441777,4.67,662,2849.0,1,0,1
9544,0.1348,11.19821472,12.44,682,4230.041667,4,0,0
9231,0.1114,11.35040654,23.1,762,11790.0,4,0,0
6741,0.1183,10.08580911,20.65,732,2069.041667,1,0,0
8273,0.1513,11.15625052,16.35,647,3059.041667,3,0,1
4624,0.0774,10.64927462,11.47,757,7380.0,0,0,0
7168,0.1025,10.49127422,14.9,762,8882.041667,0,0,0
5652,0.16,11.08214255,5.72,677,1440.0,1,0,0
7814,0.0807,9.811372264,3.29,737,1200.0,1,0,0
3504,0.1316,9.952277717000001,3.89,697,1529.958333,1,0,0
6810,0.1183,11.22524339,7.42,752,3480.041667,1,0,0
5881,0.1218,9.392661928999999,6.0,727,1198.041667,0,0,0
9093,0.1442,10.59663473,22.32,707,7409.958333,7,1,1
576,0.1071,10.59653473,19.23,722,3120.041667,1,0,0
5077,0.1809,11.26830288,21.69,667,3330.0,2,0,0
4124,0.1322,10.645424900000002,15.6,677,2013.9583329999998,0,0,0
3957,0.1095,10.621424900000001,17.0,752,4290.0,1,0,0
2882,0.1663,11.47210347,15.46,672,5219.958333,1,1,0
8095,0.1122,10.37098805,6.62,677,452.04166669999995,0,0,0
9536,0.1348,12.61153775,3.12,737,7410.041667,7,2,1
6894,0.0894,11.58988651,2.8,787,4830.041667,0,0,0
4595,0.1565,11.08214255,2.51,732,4080.0,0,0,0
6684,0.0894,11.271019500000001,0.61,782,3390.041667,1,0,0
7586,0.0751,10.30895266,8.6,752,2522.0,0,0,0
5559,0.0894,10.54534144,23.4,747,4860.0,0,0,0
3743,0.08,11.28983191,7.41,807,6630.0,1,0,0
2507,0.0768,11.15625052,10.32,782,5549.958333,0,0,0
8856,0.1272,10.77895629,18.5,677,1830.0,4,0,1
5335,0.0894,11.69524702,3.44,797,7529.958333,0,0,0
7110,0.1025,11.80559508,0.13,787,8010.0,1,0,0
1363,0.0907,10.37361617,1.84,742,2680.0,1,0,1
2436,0.0932,10.78931908,4.08,742,3600.041667,0,0,0
7090,0.1136,11.60823564,8.51,717,7920.041667,0,0,0
9185,0.1284,12.24047407,3.74,697,5100.0,4,0,0
6964,0.1426,11.05089001,10.7,677,2040.0416670000002,1,0,0
3620,0.1474,10.81977828,12.72,712,5130.0,0,0,0
2539,0.1221,10.34817337,4.54,702,2309.958333,0,0,0
2045,0.1316,10.87804719,5.52,702,2040.0416670000002,0,0,0
3283,0.1189,10.06845099,1.27,702,2884.0,2,0,1
2258,0.08,10.91508846,9.6,802,5550.0,0,0,1
6273,0.1461,10.49127422,16.57,742,5400.0,0,0,0
6984,0.1531,11.40756495,16.79,682,5581.041667,1,0,0
4208,0.1183,11.22524339,5.66,737,6075.958333,0,0,0
406,0.1141,10.96578158,10.14,702,5999.041667,1,0,0
7696,0.1385,11.33828632,1.8,722,1140.0,2,0,1
2306,0.0932,10.96819829,3.41,737,6870.041667,3,0,0
8989,0.16,11.51292546,22.22,672,4769.958333,6,0,0
257,0.0933,10.1266311,0.0,712,3360.041667,0,1,0
9483,0.1774,10.27642947,11.36,682,5671.041667,7,0,0
4260,0.1357,11.184421400000002,14.28,682,4740.0,1,0,0
4614,0.1287,10.30895266,9.52,692,3154.958333,0,0,0
2691,0.08,10.37361617,19.2,757,3749.958333,0,0,0
7738,0.1249,10.59663473,10.0,707,5790.0,8,0,1
7844,0.1375,10.30895266,2.16,657,629.9583332999999,5,0,1
3091,0.1095,11.48242502,7.56,707,5130.0,0,0,0
5960,0.1322,11.48612964,23.86,707,5090.0,1,0,0
3826,0.1537,11.22524339,7.09,667,5850.0,1,0,0
5279,0.1392,10.26813067,7.83,677,1709.9583329999998,0,0,1
8232,0.1071,10.55581274,12.28,687,2550.0,5,0,0
6120,0.1218,10.90738615,17.41,737,4111.041667,0,0,1
8331,0.1861,11.52386541,29.7,662,5760.041667,8,0,0
7091,0.1025,10.59663473,4.2,727,3240.0,1,0,0
7509,0.1273,12.07254125,10.65,717,3840.041667,0,0,0
4360,0.1114,11.08214255,15.82,742,3960.0,2,1,0
9171,0.1253,10.81977828,15.58,707,2280.0,4,2,1
4168,0.1253,9.798127037,24.2,687,2880.0,0,0,0
5485,0.1565,10.91508846,10.82,697,7949.958333,1,0,0
6666,0.07400000000000001,10.18111929,9.18,787,9000.041667,2,0,0
1676,0.0938,10.81977828,14.34,747,1979.0416670000002,2,0,0
487,0.1008,10.23995979,14.57,702,2490.0,0,0,0
486,0.0863,10.57131693,11.2,722,2670.041667,3,0,0
7660,0.1136,10.77895629,7.15,727,5400.041667,1,0,0
6614,0.1218,10.30895266,19.36,702,2100.0,1,0,1
9378,0.1183,9.903487553,16.74,717,4350.0,4,0,0
1214,0.0863,10.645424900000002,19.2,787,6449.958333,1,0,1
2490,0.1347,12.12269104,7.28,732,7218.0,1,0,1
2707,0.0768,11.15619338,12.62,722,2911.0,2,0,1
7364,0.1025,11.60823564,5.41,772,5460.0,2,0,0
5187,0.1531,10.93310697,23.49,682,4289.958333,2,0,0
1288,0.1191,10.83467754,20.69,707,5669.958333,0,0,0
2841,0.1347,11.28978191,23.83,692,6390.0,3,0,0
9066,0.1758,9.903487553,18.36,677,665.0,4,0,1
3745,0.16,10.77895629,13.26,667,1710.0,3,0,0
2192,0.0963,11.2771525,19.9,752,3300.0,4,0,1
3234,0.1189,10.71441777,19.44,722,3660.0,3,0,0
1794,0.1347,10.59653473,8.55,672,4620.041667,1,0,1
4838,0.0859,10.858999,14.35,752,7051.0,1,0,0
3519,0.1284,9.574983486,3.0,707,1199.958333,2,0,1
483,0.08,10.77895629,14.08,792,4890.041667,1,0,0
6916,0.0988,10.59663473,12.0,762,7179.041667,0,0,0
1426,0.1462,11.58988651,11.56,667,4649.958333,1,1,1
9559,0.1273,11.31447453,21.13,732,5881.0,5,0,0
3000,0.0932,11.30220443,13.11,757,6090.0,0,0,0
224,0.1028,11.48246626,5.58,697,4800.041667,0,0,0
1950,0.1379,10.76595548,9.17,712,8847.0,0,0,0
533,0.0976,11.32176496,11.89,722,8669.041667,1,0,0
3232,0.1189,11.12726298,4.29,712,3059.958333,2,0,0
5323,0.1461,8.699514748,5.0,677,8369.958333,1,1,0
6230,0.1148,10.96819829,8.67,712,5190.041667,0,0,1
